pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,829.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,835.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,841.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,842.43
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,839.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,833.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,828.27
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,829.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,835.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,841.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,842.43
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,839.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,833.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,828.27
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,829.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,835.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,841.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,842.43
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,839.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,833.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,828.27
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,829.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,835.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,841.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,842.43
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,839.8
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,833.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,828.27
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,829.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,835.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,841.46
